id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
116014,SXSW LAST MINUTE Downtown Space,419707,Julia,,78701,30.27521,-97.74793,Entire home/apt,259,1,2,2019-04-14,0.02,3,0,0,
128326,Austin City Limits-Private Pool by Nature Preserve,634580,Morrie And Rachel,,78736,30.24395,-98.00244,Entire home/apt,295,3,77,2022-05-22,0.59,1,248,23,
814908,Sprawling Home with Pool and Hot Tub near Downtown Austin,2762526,Moya,,78704,30.2545,-97.77458,Entire home/apt,1929,3,62,2022-02-16,0.54,6,299,2,
442720,House on the Creek - 4BR/3BA - 10 minutes to City,2200336,Gretchen,,78746,30.29948,-97.79728,Entire home/apt,339,3,99,2022-06-03,0.81,1,145,6,
140474,Historic Hyde Park Home By Downtown,578211,Pete,,78751,30.30215,-97.73046,Entire home/apt,152,20,82,2022-03-27,0.63,9,317,6,
140504,1915 Home w/1BR With Modern Flare,578211,Pete,,78751,30.30397,-97.73037,Entire home/apt,126,20,87,2022-05-06,0.66,9,281,11,
145210,Maiden Lane Guesthouse,475506,Dan,,78705,30.30203,-97.74235,Entire home/apt,150,30,204,2022-05-11,1.76,1,117,6,
461404,Cute & Cozy Central Austin House,1021729,Nita,,78756,30.3239,-97.731,Entire home/apt,105,2,86,2022-02-20,0.74,1,116,15,
825940,Quiet central Austin room with bath,3922483,Max,,78704,30.2402,-97.77623,Private room,74,3,40,2022-05-16,0.36,1,52,7,
154103,"4 BDR Home Ideal for SXSW, F1, ACL",741170,Scott,,78704,30.25103,-97.7814,Entire home/apt,446,3,16,2022-03-16,0.12,1,217,1,
158398,Barton Hills oasis! Bike/scooter to Zilker Park!,760426,Lis,,78704,30.25288,-97.78491,Entire home/apt,699,4,16,2021-10-11,0.13,1,235,3,
826750,"Wow-5 BRs, Deck,Grill, Firepit, Near Lakes, Domain",3584580,Katherine,,78726,30.44262,-97.82678,Entire home/apt,299,3,46,2022-03-20,0.62,3,61,7,
474901,Minutes to Zilker Park and Barton Springs!,2354063,Marit,,78704,30.25174,-97.78213,Entire home/apt,599,2,5,2016-10-10,0.05,1,357,0,
166561,SOCO ItZ bitZ Bungalow,347068,Particular Properties,,78704,30.2415,-97.76194,Entire home/apt,299,30,363,2019-10-28,2.74,1,56,0,
479197,Funky SoFi Condo! Walk downtown! Private bathroom,1918269,Amanda,,78704,30.258,-97.75195,Private room,60,30,28,2021-11-02,0.23,3,242,2,
167459,SXSW and ACL 4 bedroom in Austin!,628942,Marnie,,78746,30.27767,-97.79126,Entire home/apt,800,3,8,2022-02-22,0.06,1,348,1,
485360,Downtown Condo with Austin's skyline view!,2402591,Jane,,78702,30.26778,-97.72849,Entire home/apt,139,2,125,2022-04-25,1.23,1,3,34,
501861,Downtown SoCo Guest House,2476440,Michelle,,78704,30.253061,-97.745712,Entire home/apt,406,2,70,2022-05-28,1.03,4,347,25,
509833,Charming home in the ♥ of downtown,2511927,Amanda,,78703,30.27516,-97.75719,Entire home/apt,118,2,54,2022-03-20,0.45,1,32,1,
839470,"Cute, cozy room in Barton Hills",889533,Sandra,,78704,30.24565,-97.77877,Private room,60,1,0,,,1,0,0,
174828,Light and Airy Central Austin Retreat with Gorgeous Patio,835236,Jenny,,78752,30.33238,-97.71233,Entire home/apt,380,2,351,2022-05-30,2.69,1,191,26,
846780,deco chic 2/1 cottage - zilker/sola,4421865,Tina,,78704,30.25222,-97.7704,Entire home/apt,161,3,201,2022-05-29,1.76,1,227,24,
184853,78704  Austin Getaway Two Bedroom monthly rental.,518748,Rachel,,78704,30.24106,-97.77315,Entire home/apt,139,30,4,2022-05-06,0.10,2,104,2,
860116,Artist's Home in Barton Hills/Zilker,4504611,J L,,78704,30.25211,-97.77819,Entire home/apt,300,3,16,2022-05-01,0.14,1,62,4,
510168,The Retreat,793021,Steve,,78733,30.34253,-97.8616,Entire home/apt,257,3,106,2022-05-02,1.12,1,329,26,
517378,South Austin Condo with Great View,2546917,Clint,,78745,30.20976,-97.81729,Entire home/apt,250,1,0,,,1,0,0,
